input	filtered	denoisedF	denoisedR	merged	nonchim
281562	249426	225652	222054	212631	205083
141493	124956	106500	104411	98210	94979
115562	102558	88152	86869	82009	80201
49115	43278	34738	34221	31391	30234
444	82	1	1	0	0
240835	212575	185248	183829	173267	167532
164914	144176	120790	121954	113174	109258
249814	216604	186079	189481	176513	172242
166735	146629	123867	124974	115863	112110
607	138	1	2	0	0
240357	213914	185798	178864	169128	163719
229580	205206	180276	171768	163688	158285
246841	219925	192791	183034	174201	169764
241198	215353	191380	184305	175982	170086
294826	261727	231776	226266	215411	208432
221681	197349	172035	164884	156756	151433
282912	247465	210830	210150	196405	191212
317287	283064	254201	246011	235922	229171
302574	271087	239676	233568	222181	214405
98090	88397	74136	69814	65860	63279
80361	72104	59110	54536	51058	49440
35536	31761	24509	22898	21057	20133
240937	209803	183882	184512	173935	168086
164604	143615	118209	117468	108591	105032
96690	82902	64926	66138	59715	57950
194356	167941	140972	143371	132700	128908
264262	234767	209448	205440	195908	189526
90917	76559	55153	57552	50462	48242
81511	69688	55834	55212	51175	49439
681123	620533	614851	614771	609336	568147
292953	258577	235562	232219	223375	216318
39853	28183	13583	13807	11135	9578
77871	68206	55165	54525	50290	48469
270611	234882	231368	232701	229346	222404
39305	34898	27852	26714	24697	23757
87257	77155	65187	60303	57644	55207
33947	30368	21920	21268	18865	17877
44785	40246	31464	28692	26676	25536
77076	68389	55641	51493	48325	46187
187584	167673	145213	139516	132013	127424
83270	74204	60728	57831	53834	51954
154007	136759	119883	112332	107576	104214
44321	38876	26985	27154	23654	22402
26190	22600	15070	13800	12419	11516
83713	72261	54456	56445	50106	48201
67587	58996	46305	45597	41903	40504
73518	64805	50952	46761	43467	41776
129995	115078	95478	91361	85498	82371
41003	32233	17797	21709	16325	15114
93354	82866	67327	64596	59665	57050
83208	74457	59794	55576	52127	50115
75681	67331	53869	49345	46389	44770
111613	99463	81346	79141	73244	71082
74013	65970	53274	50020	46515	45058
71292	63197	49064	44969	41963	40146
130319	116988	97392	92587	86432	83472
134710	120847	99876	95114	88877	86216
189883	166179	140755	129490	123308	119298
68610	58749	41215	44547	37847	35984
84053	72755	56948	56385	51667	49733
139501	123148	100562	97661	90429	87865
142256	125645	107170	102150	97002	94371
107136	91938	70983	71041	64394	61939
170477	147015	118048	120355	109233	105711
168635	145414	117233	119938	109058	105860
181568	158230	132604	132644	122673	119046
101451	90184	72233	71888	65683	63468
62558	55066	42962	40866	37875	36419
144706	128653	109585	104634	98772	96078
300943	266466	237509	228837	219391	213129
130596	115798	96019	91442	85667	82719
247093	219897	191062	186384	175681	170121
103066	91009	73357	70792	64932	62839
211929	187456	160720	158136	148285	144018
80955	71394	57463	57750	53334	51770
108077	94559	77353	72997	68829	66418
161204	144059	123625	118432	112010	108936
231043	204386	178505	173653	165285	161220
89754	78687	62780	58247	54227	51919
218136	191863	164293	159825	150657	146197
182151	160240	134180	130112	121524	118069
168535	148549	125420	121419	113976	110452
95955	84361	68034	65418	60718	58733
97550	87092	73486	70916	66775	64709
135840	121282	103711	97457	92415	89646
200045	175898	150097	148865	138949	134135
401914	357122	323782	317621	303696	293792
125674	111010	90363	88449	81210	78373
187498	165358	148210	145889	139768	136052
101500	90642	79359	77562	73769	71202
150152	133772	117289	113134	107866	105026
151185	132992	110203	111318	102327	98968
376491	334442	302148	299528	286251	277609
208480	184088	156590	155618	144886	140970
108682	93140	81638	81838	77391	74903
131258	116696	100705	97765	93008	90442
62798	55525	46368	45672	43011	41789
153995	138215	123474	119905	114966	112099
83610	74734	59783	58877	54121	52265
106898	95147	80018	75740	71546	69505
125049	111689	95167	93707	87844	85312
56705	50662	43134	41385	39068	37740
127972	112368	96135	95359	89596	87235
92660	80550	66079	57498	54837	52258
110077	95603	78736	79946	74086	71960
68108	61046	48533	46323	42795	41262
42712	35650	22569	24446	20376	19020
87961	77246	61593	56432	53012	50922
74612	65854	51448	49715	45592	43789
87262	77429	65160	60722	57395	55573
107115	95451	80970	78405	74015	71990
64056	57413	45419	42614	39376	37966
83476	74575	63909	61085	58095	56437
128017	114437	96441	92285	86793	84299
105228	94418	76825	74668	68948	66720
192873	172141	149368	140990	134147	130201
272965	246059	222281	216260	207652	202751
143082	128530	112267	106922	101618	98963
80489	70626	59235	56608	53777	51997
49610	43956	32871	30382	27920	26537
25820	19481	10601	13457	10111	9480
155411	138244	118737	114604	108180	105374
107594	96802	80174	78544	73239	71270
108245	96348	79247	73526	69270	67182
182813	163699	141038	138441	130560	126699
173722	156823	136454	129587	122796	118957
277149	248632	225459	220723	211673	207132
122839	110302	94630	90614	85910	83458
95418	85165	72079	68606	64529	62592
101406	89965	73527	73483	67931	65910
98441	87947	70630	69235	63700	61799
150703	133848	112968	106858	101137	98046
213670	190797	167187	163679	155307	150567
111007	99390	84874	80166	76058	73802
105323	94094	78574	76203	71272	69076
84122	75814	63169	59773	56270	54390
57937	51432	37671	35321	31718	30285
120416	105455	84614	87019	78769	76378
26234	23147	15833	15284	13337	12645
108023	95404	77738	71695	66989	64178
104749	93497	79074	76200	71696	69546
116176	103464	87955	83186	78645	76590
157931	139375	115369	115511	106445	103030
84671	75379	61114	59129	54970	53325
159975	142017	122209	119120	112723	109815
207731	184029	160384	152850	145578	141336
169798	148124	122708	119874	112152	108517
154809	137911	118330	113553	107038	104160
179019	157334	141249	140359	133864	129892
52441	46287	38581	36327	34542	33182
192055	163562	141434	140289	132957	129553
165767	145901	123043	119589	112313	108878
184861	161835	136684	138262	128518	124877
200749	178723	157716	153584	146298	142014
